n,schedule,family,step,moves,pebbles,state_size,temps,time,time_pred,baseline_time,time_ratio,peak_space,declared_space,space_pred,output_ok
64,"bennett(k=2,m=8)",bennett,step_lcg.srl,225,15,1,0,225,225,64,3.5156,16,16,16,True
64,"bennett(k=2,m=8)",bennett,step_tri.srl,225,15,1,2,3738,3738,1068,3.5,18,18,18,True
64,optimal(s=7),optimal,step_fib.srl,531,7,2,0,1593,1593,192,8.2969,15,16,16,True
64,optimal(s=7),optimal,step_lcg.srl,531,7,1,0,531,531,64,8.2969,8,8,8,True
64,optimal(s=7),optimal,step_tri.srl,531,7,1,2,8358,8358,1068,7.8258,10,10,10,True
64,optimal(s=8),optimal,step_fib.srl,369,8,2,0,1107,1107,192,5.7656,17,18,18,True
64,optimal(s=8),optimal,step_lcg.srl,369,8,1,0,369,369,64,5.7656,9,9,9,True
64,optimal(s=8),optimal,step_tri.srl,369,8,1,2,5994,5994,1068,5.6124,11,11,11,True
64,optimal(s=9),optimal,step_fib.srl,333,9,2,0,999,999,192,5.2031,19,20,20,True
64,optimal(s=9),optimal,step_lcg.srl,333,9,1,0,333,333,64,5.2031,10,10,10,True
64,optimal(s=9),optimal,step_tri.srl,333,9,1,2,5634,5634,1068,5.2753,12,12,12,True
64,optimal(s=10),optimal,step_fib.srl,293,10,2,0,879,879,192,4.5781,21,22,22,True
64,optimal(s=10),optimal,step_lcg.srl,293,10,1,0,293,293,64,4.5781,11,11,11,True
64,optimal(s=10),optimal,step_tri.srl,293,10,1,2,4962,4962,1068,4.6461,13,13,13,True
64,optimal(s=11),optimal,step_fib.srl,249,11,2,0,747,747,192,3.8906,23,24,24,True
